127.0.0.1 - - [24/Apr/2021:10:01:50 +0300] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [24/Apr/2021:10:01:51 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1564
127.0.0.1 - - [24/Apr/2021:10:01:51 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:01:52 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:02:41 +0300] "GET /Asiakkaat/asiakkaat/567 HTTP/1.1" 200 125
127.0.0.1 - - [24/Apr/2021:10:02:44 +0300] "GET /Asiakkaat/asiakkaat/567 HTTP/1.1" 200 125
127.0.0.1 - - [24/Apr/2021:10:02:46 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:18:18 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1625
127.0.0.1 - - [24/Apr/2021:10:18:18 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 25
127.0.0.1 - - [24/Apr/2021:10:18:18 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:18:18 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:18:38 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1625
127.0.0.1 - - [24/Apr/2021:10:18:38 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 25
127.0.0.1 - - [24/Apr/2021:10:18:38 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:18:38 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:20:41 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1681
127.0.0.1 - - [24/Apr/2021:10:20:41 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 25
127.0.0.1 - - [24/Apr/2021:10:20:41 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:20:41 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:21:09 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1700
127.0.0.1 - - [24/Apr/2021:10:21:09 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 25
127.0.0.1 - - [24/Apr/2021:10:21:09 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:21:09 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:21:42 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1757
127.0.0.1 - - [24/Apr/2021:10:21:42 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 25
127.0.0.1 - - [24/Apr/2021:10:21:42 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:21:43 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:29:02 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1757
127.0.0.1 - - [24/Apr/2021:10:29:02 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 452
127.0.0.1 - - [24/Apr/2021:10:29:02 +0300] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [24/Apr/2021:10:29:02 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
127.0.0.1 - - [24/Apr/2021:10:29:52 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1757
127.0.0.1 - - [24/Apr/2021:10:29:52 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 424
127.0.0.1 - - [24/Apr/2021:10:29:52 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
